PID,CHALT,LCITY,INCOME,WEEKEND,FEMSEX,ALONE,IVTT_c,IVTT_a,IVTT_r,OVTT_c,OVTT_a,OVTT_r,COST_c,COST_a,COST_r,FREQ_a,FREQ_r
102,3,1,15,1,1,0,242,56,237,0,93,94,68.78,152.65,61.35,9,4
103,3,1,15,1,1,0,242,56,237,0,93,94,68.78,152.65,61.35,9,4
104,2,1,70,0,0,1,242,56,237,0,93,94,68.78,152.65,61.35,9,4
105,2,1,55,0,0,1,242,56,237,0,93,94,68.78,152.65,61.35,9,4
106,2,1,70,0,0,1,242,56,237,0,93,94,68.78,152.65,61.35,9,4
107,2,1,70,0,0,1,242,56,237,0,93,94,68.78,152.65,61.35,9,4
108,2,1,70,0,0,0,242,56,237,0,93,94,68.78,152.65,61.35,9,4
109,1,1,25,0,0,0,242,56,237,0,93,94,68.78,152.65,61.35,9,4
110,1,1,70,0,0,1,242,56,237,0,93,94,68.78,152.65,61.35,9,4
111,1,1,45,0,0,1,242,56,237,0,93,94,68.78,152.65,61.35,9,4
112,1,1,55,0,1,0,242,56,237,0,93,94,68.78,152.65,61.35,9,4
113,1,1,55,1,0,1,242,56,237,0,93,94,68.78,152.65,61.35,9,4
114,1,1,70,1,0,1,242,56,237,0,93,94,68.78,152.65,61.35,9,4
115,3,1,45,1,1,1,245,56,237,0,99,94,69.35,154.45,60.85,9,4
116,3,1,70,1,0,1,245,56,237,0,99,94,69.35,154.45,60.85,9,4
117,2,1,70,0,0,1,245,56,237,0,99,94,69.35,154.45,60.85,9,4
118,2,1,70,0,0,0,245,56,237,0,99,94,69.35,154.45,60.85,9,4
119,1,1,25,0,0,0,245,56,237,0,99,94,69.35,154.45,60.85,9,4
120,1,1,45,0,0,1,245,56,237,0,99,94,69.35,154.45,60.85,9,4
121,1,1,70,0,1,1,245,56,237,0,99,94,69.35,154.45,60.85,9,4
122,1,1,25,1,1,1,245,56,237,0,99,94,69.35,154.45,60.85,9,4
123,1,1,45,1,0,0,245,56,237,0,99,94,69.35,154.45,60.85,9,4
124,1,0,45,0,1,1,262,56,237,0,84,108,71.63,146.2,61.85,9,4
125,2,0,70,0,1,1,265,56,237,0,104,112,72.2,154.2,62.85,9,4
126,2,0,70,0,0,1,265,56,237,0,104,112,72.2,154.2,62.85,9,4
127,1,0,45,0,0,1,265,56,237,0,104,112,72.2,154.2,62.85,9,4
128,1,0,35,0,0,1,265,56,237,0,104,112,72.2,154.2,62.85,9,4
129,1,0,70,0,0,0,265,56,237,0,104,112,72.2,154.2,62.85,9,4
130,1,0,45,0,0,1,265,56,237,0,99,94,72.2,155.2,61.85,9,4
131,1,0,55,0,0,0,276,56,237,0,114,124,77.71,150.2,62.85,9,4
132,1,0,70,0,0,0,276,56,237,0,114,124,77.71,150.2,62.85,9,4
133,1,0,70,0,0,1,258,56,237,0,109,112,74.67,150.2,62.85,9,4
134,2,0,55,1,0,1,262,56,317,0,134,59,76.95,154.2,64.65,9,3
135,1,0,15,0,0,0,277,56,237,0,134,144,81.32,154.2,70.85,9,4
136,1,0,70,0,0,1,314,56,316,0,122,94,82.27,148.75,64.25,9,2
137,1,0,70,1,0,0,313,56,237,0,124,114,90.44,150.2,70.85,9,4
138,1,0,35,1,0,1,402,161,391,0,99,74,115.52,178.5,83.65,6,3
139,3,0,35,0,0,1,373,161,430,0,67,64,112.48,175.65,88.75,6,3
140,3,0,70,0,0,1,373,161,430,0,67,64,112.48,175.65,88.75,6,3
141,2,0,70,0,0,1,373,161,430,0,67,64,112.48,175.65,88.75,6,3
142,1,1,35,0,0,0,493,181,573,0,84,84,140.03,207.8,106.65,9,2
143,3,1,30.6,0,1,0,500,181,573,0,79,73,146.49,204.4,104.65,9,2
144,3,1,55,1,1,0,500,181,573,0,79,73,146.49,204.4,104.65,9,2
145,2,1,70,0,0,1,500,181,573,0,79,73,146.49,204.4,104.65,9,2
146,2,1,30.6,0,0,0,500,181,573,0,79,73,146.49,204.4,104.65,9,2
147,2,1,70,0,0,1,500,181,573,0,79,73,146.49,204.4,104.65,9,2
148,2,1,55,0,1,0,500,181,573,0,79,73,146.49,204.4,104.65,9,2
149,2,1,55,1,0,0,500,181,573,0,79,73,146.49,204.4,104.65,9,2
150,2,1,55,1,0,1,500,181,573,0,79,73,146.49,204.4,104.65,9,2
151,1,1,35,0,0,0,500,181,573,0,79,73,146.49,204.4,104.65,9,2
152,1,1,15,0,0,0,500,181,573,0,79,73,146.49,204.4,104.65,9,2
153,2,1,70,1,0,0,562,170,580,0,80,74,169.67,226.15,107.35,9,2
154,3,1,25,1,1,0,549,170,599,0,84,74,167.77,228.9,109.8,9,2
155,3,1,25,1,0,1,549,170,599,0,84,74,167.77,228.9,109.8,9,2
156,2,1,70,0,0,0,549,170,599,0,84,74,167.77,228.9,109.8,9,2
157,2,1,35,1,1,0,549,170,599,0,84,74,167.77,228.9,109.8,9,2
158,1,1,45,1,1,0,549,170,599,0,84,74,167.77,228.9,109.8,9,2
159,1,0,70,0,0,1,220,56,209,0,145,105,61.37,163.6,67.4,9,4
160,1,0,45,0,0,1,173,56,260,0,135,75,48.83,163.3,47.4,9,2
161,1,0,45,0,0,1,178,56,260,0,140,77,49.59,158.3,48.4,9,2
162,1,0,70,1,0,1,208,56,215,0,100,74,56.05,150.3,58,9,4
163,1,0,55,0,0,1,210,56,215,0,106,90,56.62,150.3,59.5,9,4
164,3,0,70,0,1,1,256,56,215,0,91,85,67.45,146.9,59,9,4
165,1,0,70,0,0,1,256,56,215,0,91,85,67.45,146.9,59,9,4
166,2,1,55,0,0,1,240,56,237,0,83,105,65.17,155.3,61.6,9,4
167,3,1,70,1,1,1,226,56,237,0,103,80,63.08,159.9,59.75,9,4
168,2,1,70,0,0,1,237,56,237,0,99,105,64.6,156.75,62.1,9,4
169,2,1,70,0,0,1,237,56,237,0,99,105,64.6,156.75,62.1,9,4
170,1,0,35,0,0,0,260,56,237,0,110,123,68.02,158.3,63.6,9,4
171,2,0,70,0,0,0,276,56,237,0,115,135,70.3,154.3,63.6,9,4
172,1,0,70,1,0,1,271,56,237,0,120,135,73.53,154.3,63.6,9,4
173,1,0,70,0,0,0,330,161,391,0,105,75,96.33,182.6,79.2,6,3
174,2,0,55,0,1,1,473,181,547,0,135,70,141.55,219.9,103.6,9,2
175,1,0,35,0,0,1,473,181,547,0,135,70,141.55,219.9,103.6,9,2
176,3,1,34.37,0,0,1,494,181,573,0,85,84,142.31,208.5,105.4,9,2
177,2,1,32.97,0,0,1,507,181,573,0,85,85,144.21,209.9,107.1,9,2
178,1,0,35,0,0,1,175,56,209,0,165,115,49.78,163.6,68.4,9,4
179,1,0,45,0,0,1,128,56,260,0,155,85,37.24,163.3,48.4,9,2
180,1,0,15,0,0,1,128,56,260,0,155,85,37.24,163.3,48.4,9,2
181,1,0,45,1,0,1,128,56,260,0,155,85,37.24,163.3,48.4,9,2
182,1,0,70,0,0,1,149,56,209,0,130,90,41.23,153.65,57.4,9,4
183,1,0,55,1,0,0,211,56,215,0,111,95,55.86,146.9,60,9,4
184,3,1,70,0,1,1,181,56,237,0,123,90,51.49,159.9,60.75,9,4
185,3,1,70,0,1,1,181,56,237,0,123,90,51.49,159.9,60.75,9,4
186,3,1,55,1,1,1,181,56,237,0,123,90,51.49,159.9,60.75,9,4
187,1,1,70,0,0,0,181,56,237,0,123,90,51.49,159.9,60.75,9,4
188,1,1,35,1,0,1,181,56,237,0,123,90,51.49,159.9,60.75,9,4
189,1,1,25,1,1,0,192,56,237,0,119,115,53.01,156.75,63.1,9,4
190,3,0,70,0,0,1,269,56,237,0,175,170,75.24,168.3,75.6,9,4
191,1,0,45,0,0,0,146,50,210,0,145,70,41.42,157.8,41.8,4,2
192,1,0,35,0,0,0,182,50,165,0,110,69,48.64,144.8,48.2,4,4
193,3,1,70,0,1,1,199,50,187,0,113,75,55.67,154.4,50.75,4,4
194,1,1,70,1,0,1,199,50,187,0,113,75,55.67,154.4,50.75,4,4
195,1,0,45,0,0,1,135,50,124,0,140,105,37.62,156.5,41.7,4,2
196,1,0,55,1,0,0,234,50,159,0,118,100,65.93,149.9,53.5,4,1
197,1,0,25,0,1,0,116,50,124,0,130,70,33.06,150.5,37.7,4,2
198,1,0,70,0,0,1,128,50,149,0,120,70,37.05,151.5,37.7,4,3
199,1,0,45,0,0,1,128,50,149,0,120,70,37.05,151.5,37.7,4,3
200,1,0,70,0,0,0,143,50,159,0,114,80,39.33,138.5,47.5,4,1
201,1,0,70,0,0,1,149,50,159,0,95,75,41.04,141.85,42.5,4,1
202,1,0,70,0,0,1,163,50,165,0,85,69,44.27,138.5,44.1,4,1
203,1,0,70,0,0,1,163,50,165,0,85,69,44.27,138.5,44.1,4,1
204,1,0,70,1,0,0,163,50,165,0,85,69,44.27,138.5,44.1,4,1
205,1,0,25,0,1,1,211,50,165,0,76,80,55.67,135.1,45.1,4,1
206,1,0,70,0,0,1,211,50,165,0,76,80,55.67,135.1,45.1,4,1
207,1,0,35,0,1,1,211,50,165,0,76,80,55.67,135.1,45.1,4,1
208,1,0,70,1,0,0,211,50,165,0,76,80,55.67,135.1,45.1,4,1
209,3,0,70,1,0,1,200,50,205,0,76,65,57.57,138.1,45.1,4,3
210,1,0,35,0,0,1,200,50,205,0,76,65,57.57,138.1,45.1,4,3
211,1,0,70,0,0,1,200,50,205,0,76,65,57.57,138.1,45.1,4,3
212,1,1,55,0,0,0,195,50,187,0,68,100,53.39,143.5,48.5,4,4
213,1,1,70,0,0,0,195,50,187,0,68,100,53.39,143.5,48.5,4,4
214,1,1,70,0,0,1,195,50,187,0,68,100,53.39,143.5,48.5,4,4
215,1,1,35,1,0,1,195,50,187,0,68,100,53.39,143.5,48.5,4,4
216,1,1,31.71,1,0,1,195,50,187,0,68,100,53.39,143.5,48.5,4,4
217,1,1,55,0,0,0,181,50,187,0,88,75,51.3,148.1,46.65,4,4
218,1,1,35,0,0,1,181,50,187,0,88,75,51.3,148.1,46.65,4,4
219,1,1,35,0,1,1,181,50,187,0,88,75,51.3,148.1,46.65,4,4
220,1,1,70,0,1,1,192,50,187,0,84,100,52.82,144.95,49,4,4
221,1,1,45,0,0,1,192,50,187,0,84,100,52.82,144.95,49,4,4
222,1,1,70,0,0,1,192,50,187,0,84,100,52.82,144.95,49,4,4
223,1,1,25,0,1,0,195,50,187,0,90,100,53.39,146.75,48.5,4,4
224,1,1,35,1,0,1,195,50,187,0,90,100,53.39,146.75,48.5,4,4
225,3,0,45,1,0,0,211,50,196,0,125,100,60.99,146.5,50.6,4,4
226,1,0,31.36,0,0,1,211,50,196,0,125,100,60.99,146.5,50.6,4,4
227,1,0,70,0,0,0,255,50,205,0,113,100,59.47,141.05,51.1,4,3
228,2,0,70,0,0,1,428,149,576,0,120,115,129.77,219.1,97.1,4,2
229,2,0,55,0,0,1,428,149,576,0,120,115,129.77,219.1,97.1,4,2
230,2,1,70,1,0,1,449,149,576,0,70,79,130.53,207.7,93.1,4,2
231,2,0,70,1,0,1,568,149,570,0,100,110,165.68,232.48,111.9,4,3
232,2,0,70,1,1,1,512,149,570,0,82,85,153.71,224.48,109.35,4,3
233,2,0,70,0,0,1,512,149,570,0,82,90,153.71,224.48,107.9,4,3
234,2,0,55,1,0,1,512,149,570,0,82,90,153.71,224.48,107.9,4,3
235,2,1,70,0,0,0,498,149,570,0,75,80,151.81,222.48,102.45,4,3
236,1,0,55,0,1,1,152,50,170,0,130,80,39.33,155.5,45.4,4,3
237,1,0,45,0,0,1,145,50,159,0,129,95,38.38,144.8,51,4,1
238,1,1,55,0,1,0,183,50,187,0,103,90,50.35,154.4,50.15,4,4
239,1,1,25,0,1,1,183,50,187,0,103,90,50.35,154.4,50.15,4,4
240,1,0,70,0,0,1,372,149,576,0,145,130,110.58,225.4,100.6,4,2
241,3,1,70,1,1,0,451,149,576,0,85,94,129.58,214,96.6,4,2
242,1,0,25,0,0,1,187,40,92,0,143,100,40.66,140.8,43.75,25,5
243,1,0,45,0,0,1,101,40,82,0,155,83,26.79,142.4,30.75,25,4
244,2,0,25,1,1,0,113,40,103,0,140,65,27.74,140.1,32.15,25,4
245,1,0,70,1,0,1,113,40,103,0,140,65,27.74,140.1,32.15,25,4
246,1,0,35,0,0,1,112,40,92,0,120,75,28.5,132.75,32.75,25,5
247,1,0,25,0,0,0,112,40,92,0,120,75,28.5,132.75,32.75,25,5
248,1,0,70,0,0,0,164,40,138,0,101,65,45.03,129,40.35,25,4
249,1,1,70,0,0,1,159,40,120,0,93,100,40.85,134.4,43.75,25,12
250,1,1,35,0,0,1,159,40,120,0,93,100,40.85,134.4,43.75,25,12
251,3,1,55,0,1,1,144,40,120,0,113,75,38.76,139,41.9,25,12
252,3,1,70,0,1,1,144,40,120,0,113,75,38.76,139,41.9,25,12
253,3,1,55,0,1,0,144,40,120,0,113,75,38.76,139,41.9,25,12
254,3,1,45,1,1,1,144,40,120,0,113,75,38.76,139,41.9,25,12
255,2,1,70,0,0,1,144,40,120,0,113,75,38.76,139,41.9,25,12
256,1,1,28.2,0,0,1,144,40,120,0,113,75,38.76,139,41.9,25,12
257,1,1,25,1,0,1,144,40,120,0,113,75,38.76,139,41.9,25,12
258,1,0,45,1,0,0,226,40,120,0,140,120,61.94,133.4,53.75,25,12
259,1,0,70,1,1,1,333,96,356,0,155,65,98.99,183.6,78.55,5,4
260,2,1,70,0,0,0,406,96,434,0,100,90,111.53,175.6,92.75,5,2
261,2,1,70,0,0,0,406,96,434,0,100,90,111.53,175.6,92.75,5,2
262,3,1,45,1,0,1,413,96,434,0,95,79,117.99,172.2,90.75,5,2
263,3,1,45,1,1,0,413,96,434,0,95,79,117.99,172.2,90.75,5,2
264,1,1,70,0,0,0,413,96,434,0,95,79,117.99,172.2,90.75,5,2
265,2,1,55,0,0,0,426,96,434,0,95,80,119.89,173.6,92.45,5,2
266,1,1,70,0,0,1,475,139,458,0,96,80,141.17,198.35,92.65,25,4
267,2,1,35,1,1,1,469,139,477,0,103,75,140.22,201.75,94.55,25,4
268,1,0,25,0,0,1,91,40,57,0,150,115,22.8,147.4,33,25,8
269,1,0,70,0,0,1,94,40,57,0,145,95,22.04,140.9,29.5,25,8
270,1,0,45,0,0,1,94,40,57,0,145,95,22.04,140.9,29.5,25,8
271,1,0,35,0,0,1,94,40,57,0,145,95,22.04,140.9,29.5,25,8
272,1,0,70,0,0,1,94,40,57,0,145,95,22.04,140.9,29.5,25,8
273,1,0,55,1,0,1,237,60,256,0,138,95,68.02,161.45,61.9,6,5
274,1,0,35,1,1,1,237,60,256,0,138,95,68.02,161.45,61.9,6,5
275,1,0,35,0,0,0,383,58,377,0,175,140,110.58,175.5,82.6,36,2
276,1,0,70,1,0,0,383,58,377,0,175,140,110.58,175.5,82.6,36,2
277,2,1,70,0,0,0,426,69,406,0,151,105,125.21,192.15,87.1,45,3
278,2,0,70,0,0,1,460,69,425,0,205,150,138.13,204.9,95,45,3
279,1,0,70,0,0,1,115,40,92,0,120,85,27.93,130.9,38.5,25,5
280,2,0,45,0,0,0,349,58,367,0,150,130,103.93,165.5,84.4,36,3
281,1,0,55,0,0,1,133,40,92,0,135,90,34.01,136.2,40.5,25,5
282,1,0,70,0,0,1,133,40,92,0,135,90,34.01,136.2,40.5,25,5
283,1,0,45,0,0,1,133,40,92,0,135,90,34.01,136.2,40.5,25,5
284,1,0,45,1,0,0,133,40,92,0,135,90,34.01,136.2,40.5,25,5
285,3,0,35,1,0,0,221,60,233,0,128,90,67.45,156.75,65.7,6,4
286,3,0,45,0,0,0,327,58,356,0,190,85,100.7,178.2,80.6,36,2
287,3,0,70,0,0,0,327,58,356,0,190,85,100.7,178.2,80.6,36,2
288,2,1,70,0,0,1,348,58,367,0,140,99,101.46,166.8,82.4,36,3
289,2,1,25,1,1,1,348,58,367,0,140,99,101.46,166.8,82.4,36,3
290,2,1,70,1,0,1,348,58,367,0,140,99,101.46,166.8,82.4,36,3
291,2,1,55,1,0,1,361,58,367,0,140,100,103.36,168.2,84.1,36,3
292,2,1,70,0,0,1,410,69,375,0,141,100,124.64,187.45,85.1,45,3
293,2,1,70,0,0,0,410,69,375,0,141,100,124.64,187.45,85.1,45,3
294,2,1,70,0,0,0,397,69,394,0,145,100,122.74,190.2,87.55,45,3
295,2,1,55,0,0,1,404,69,394,0,145,87,123.69,196.75,85,45,3
296,1,1,27.75,0,0,1,404,69,394,0,145,87,123.69,196.75,85,45,3
297,1,1,35,1,1,1,404,69,394,0,145,87,123.69,196.75,85,45,3
298,1,0,35,0,0,0,148,40,92,0,137,95,37.24,135.9,44.05,25,5
299,1,0,70,0,0,0,148,40,92,0,137,95,37.24,135.9,44.05,25,5
300,1,0,55,1,1,0,148,40,92,0,137,95,37.24,135.9,44.05,25,5
301,2,1,45,1,1,1,362,58,367,0,142,104,104.69,166.5,85.95,36,3
302,2,1,70,1,1,1,375,58,367,0,142,105,106.59,167.9,87.65,36,3
303,2,1,70,0,1,1,425,69,375,0,143,105,127.87,187.15,88.65,45,3
304,1,0,70,0,0,1,144,40,92,0,140,100,37.62,150.9,42.5,25,5
305,1,0,26.6,0,0,0,144,40,92,0,140,100,37.62,150.9,42.5,25,5
306,1,0,35,0,0,1,144,40,92,0,140,100,37.62,150.9,42.5,25,5
307,1,0,35,1,0,1,144,40,92,0,140,100,37.62,150.9,42.5,25,5
308,1,0,45,0,0,1,195,60,233,0,165,120,59.09,174.3,72.2,6,4
309,3,1,35,1,0,1,359,58,367,0,145,109,105.07,181.5,84.4,36,3
310,2,1,70,0,0,1,359,58,367,0,145,109,105.07,181.5,84.4,36,3
311,2,1,35,0,1,1,359,58,367,0,145,109,105.07,181.5,84.4,36,3
312,3,0,45,0,1,1,365,58,367,0,150,115,106.02,187.9,87.4,36,3
313,2,1,35,1,0,1,421,69,375,0,146,110,128.25,202.15,87.1,45,3
314,2,0,45,1,1,1,416,69,394,0,163,115,128.63,211.25,90.5,45,3
315,1,0,25,0,0,0,193,40,92,0,123,90,50.35,134.3,40.5,25,5
316,1,0,70,0,0,1,193,40,92,0,123,90,50.35,134.3,40.5,25,5
317,1,0,25,1,1,1,193,40,92,0,123,90,50.35,134.3,40.5,25,5
318,1,0,35,0,0,1,194,40,92,0,163,120,49.78,140.8,45,25,5
319,3,0,55,0,0,0,281,60,233,0,116,90,83.79,154.85,65.7,6,4
320,2,1,29.31,0,0,0,407,58,367,0,128,99,117.8,164.9,82.4,36,3
321,2,1,70,0,0,1,407,58,367,0,128,99,117.8,164.9,82.4,36,3
322,2,1,70,0,1,0,470,69,375,0,129,100,140.98,185.55,85.1,45,3
323,1,1,35,0,0,0,470,69,375,0,129,100,140.98,185.55,85.1,45,3
324,1,0,55,0,0,1,116,40,103,0,140,90,29.45,142.4,35.4,25,4
325,1,0,35,0,0,1,167,40,144,0,86,101,40.85,126,50.55,25,4
326,1,0,55,0,0,1,156,40,144,0,86,107,42.75,129,55.55,25,4
327,1,1,70,0,0,0,151,40,144,0,78,102,38.57,134.4,45.55,25,4
328,3,1,45,0,0,0,137,40,144,0,98,77,36.48,139,43.7,25,4
329,3,1,45,1,0,1,137,40,144,0,98,77,36.48,139,43.7,25,4
330,1,1,15,0,0,1,137,40,144,0,98,77,36.48,139,43.7,25,4
